"filename", "language", "CSS", "JavaScript", "JavaScript JSX", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\README.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 21, 47
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\data\data.json", "JSON", 0, 0, 0, 713, 0, 0, 0, 1, 714
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\package-lock.json", "JSON", 0, 0, 0, 17253, 0, 0, 0, 1, 17254
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\package.json", "JSON", 0, 0, 0, 47, 0, 0, 0, 1, 48
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\public\index.html", "HTML", 0, 0, 0, 0, 0, 21, 23, 1, 45
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\App.js", "JavaScript", 0, 127, 0, 0, 0, 0, 0, 11, 138
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\app\store.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\components\Button1.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\components\Button2.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\components\ButtonPrimary.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\components\Carousel.jsx", "JavaScript JSX", 0, 0, 95, 0, 0, 0, 0, 11, 106
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\components\Filters.jsx", "JavaScript JSX", 0, 0, 151, 0, 0, 0, 19, 5, 175
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\components\Heart.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 0, 0, 2, 24
