"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\App.js", "JavaScript", 41, 0, 0, 0, 41
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\app\store.js", "JavaScript", 2, 0, 0, 0, 2
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\AdminProductForm.jsx", "JavaScript JSX", 0, 238, 0, 6, 244
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\ButtonPrimary.jsx", "JavaScript JSX", 0, 5, 0, 2, 7
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\ProtectedAdmin.jsx", "JavaScript JSX", 0, 13, 0, 4, 17
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\components\Rating.jsx", "JavaScript JSX", 0, 1, 0, 0, 1
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\NavBar\NavBar.jsx", "JavaScript JSX", 0, 1, 0, 0, 1
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\ProductsList\components\ProductCard.jsx", "JavaScript JSX", 0, 8, 0, 0, 8
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\ProductsList\components\ProductCard3.jsx", "JavaScript JSX", 0, -1, 0, 0, -1
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\ProductsList\components\ProductCardAdmin.jsx", "JavaScript JSX", 0, 82, 0, 3, 85
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\ProductsList\components\ProductItem.jsx", "JavaScript JSX", 0, 7, 0, 1, 8
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\ProductsList\components\ProductItemAdmin.jsx", "JavaScript JSX", 0, 89, 0, 11, 100
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\ProductsList\components\ProductListAdmin.jsx", "JavaScript JSX", 0, 20, 0, 4, 24
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\ProductsList\productListSlice.js", "JavaScript", -1, 0, 0, 1, 0
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\adminProduct\adminProductApi.js", "JavaScript", 25, 0, 0, 1, 26
